datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.9378238768860361,2022,1,1,1.0,10.937823876886036
2022-01-01 01:00:00,2022-01-01 01:00:00,0.9299654444278397,2022,1,1,0.9999997588734665,10.929963033162505
2022-01-01 02:00:00,2022-01-01 02:00:00,0.3924608671667438,2022,1,1,0.9999990354939822,10.392451222106565
2022-01-01 03:00:00,2022-01-01 03:00:00,0.1563731641871805,2022,1,1,0.999997829861896,10.156351462806139
2022-01-01 04:00:00,2022-01-01 04:00:00,0.9856740500491838,2022,1,1,0.9999961419777894,10.985635469827077
2022-01-01 05:00:00,2022-01-01 05:00:00,0.18294047563308957,2022,1,1,0.9999939718424762,10.182880194057851
2022-01-01 06:00:00,2022-01-01 06:00:00,0.8755321287762547,2022,1,1,0.9999913194570031,10.875445323346286
2022-01-01 07:00:00,2022-01-01 07:00:00,0.049160716471273624,2022,1,1,0.9999881848226492,10.049042564697766
2022-01-01 08:00:00,2022-01-01 08:00:00,0.1996808046022186,2022,1,1,0.9999845679409262,10.19952648401148
2022-01-01 09:00:00,2022-01-01 09:00:00,0.9207806031378584,2022,1,1,0.9999804688135782,10.92058529127364
2022-01-01 10:00:00,2022-01-01 10:00:00,0.37112770042102583,2022,1,1,0.9999758874425823,10.370886574846848
2022-01-01 11:00:00,2022-01-01 11:00:00,0.1444037239685808,2022,1,1,0.9999708238301476,10.144111962270058
2022-01-01 12:00:00,2022-01-01 12:00:00,0.8366328669430897,2022,1,1,0.9999652779787161,10.836285646730252
2022-01-01 13:00:00,2022-01-01 13:00:00,0.0829421107806273,2022,1,1,0.9999592498909624,10.082534609690251
2022-01-01 14:00:00,2022-01-01 14:00:00,0.8750912201611966,2022,1,1,0.9999527395697936,10.874618615859132
2022-01-01 15:00:00,2022-01-01 15:00:00,0.2948017900586932,2022,1,1,0.9999457470183493,10.294259260242187
2022-01-01 16:00:00,2022-01-01 16:00:00,0.9907101411581434,2022,1,1,0.9999382722400014,10.990092863558157
2022-01-01 17:00:00,2022-01-01 17:00:00,0.4484460150493442,2022,1,1,0.9999303152383551,10.447749167432894
2022-01-01 18:00:00,2022-01-01 18:00:00,0.5645185247592654,2022,1,1,0.9999218760172474,10.563737284931738
2022-01-01 19:00:00,2022-01-01 19:00:00,0.21350437038624526,2022,1,1,0.999912954580748,10.212633916193726
2022-01-01 20:00:00,2022-01-01 20:00:00,0.07269858681344032,2022,1,1,0.9999035509331596,10.071734096145036
2022-01-01 21:00:00,2022-01-01 21:00:00,0.8934985358570823,2022,1,1,0.9998936650790171,10.892435186647253
2022-01-01 22:00:00,2022-01-01 22:00:00,0.6874715508970131,2022,1,1,0.9998832970230879,10.686304521127893
2022-01-01 23:00:00,2022-01-01 23:00:00,0.42428907877306843,2022,1,1,0.9998724467703719,10.423013546476787
2022-01-02 00:00:00,2022-01-02 00:00:00,0.008946014417110959,2022,1,2,0.9998611143261019,10.00755715767813
2022-01-02 01:00:00,2022-01-02 01:00:00,0.7489163340848621,2022,1,2,0.9998492996957429,10.747409331042292
2022-01-02 02:00:00,2022-01-02 02:00:00,0.46073717647442103,2022,1,2,0.9998370028849926,10.459107205324347
2022-01-02 03:00:00,2022-01-02 03:00:00,0.15244087037839615,2022,1,2,0.999824223899781,10.150683109376205
2022-01-02 04:00:00,2022-01-02 04:00:00,0.9780138986609128,2022,1,2,0.9998109627462709,10.976123526123622
2022-01-02 05:00:00,2022-01-02 05:00:00,0.965982980469828,2022,1,2,0.9997972194308576,10.963955174778405
2022-01-02 06:00:00,2022-01-02 06:00:00,0.6110082673223473,2022,1,2,0.9997829939601689,10.608838206924036
2022-01-02 07:00:00,2022-01-02 07:00:00,0.7327298664114537,2022,1,2,0.999768286341065,10.730412729822103
